property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price_per_sqft,bath_bed_ratio,price_log
flat,sector 36,0.82,3.0,2.0,2,New Property,908.0,0.0,0.0,unfurnished,Low,0.0009030837004405285,0.6666666666666666,0.5988365010887039
flat,sector 89,0.95,2.0,2.0,2,New Property,1432.0,1.0,0.0,unfurnished,Low,0.0006634078212290502,1.0,0.6678293725756554
flat,sohna road,0.32,2.0,2.0,1,New Property,1000.0,0.0,0.0,unfurnished,Low,0.00032,1.0,0.27763173659827944
flat,sector 92,1.6,3.0,4.0,3+,Relatively New,1615.0,1.0,0.0,semiunfurnished,High,0.0009907120743034056,1.3333333333333333,0.9555114450274363
flat,sector 102,0.48,2.0,2.0,1,Relatively New,630.0,0.0,1.0,unfurnished,High,0.0007619047619047619,1.0,0.3920420877760237
flat,gwal pahari,7.5,4.0,4.0,3+,New Property,4813.0,1.0,0.0,semiunfurnished,Low,0.0015582796592561812,1.0,2.1400661634962708
flat,sector 108,2.0,3.0,3.0,3+,Relatively New,2103.0,1.0,0.0,unfurnished,High,0.0009510223490252021,1.0,1.0986122886681096
flat,sector 102,1.9,3.0,4.0,3,Relatively New,1699.0,1.0,0.0,unfurnished,High,0.001118304885226604,1.3333333333333333,1.0647107369924282
house,sector 105,1.2,3.0,2.0,1,Old Property,1185.51,0.0,0.0,unfurnished,Low,0.0010122225877470456,0.6666666666666666,0.7884573603642702
house,sector 109,1.55,3.0,2.0,0,Relatively New,2360.0,0.0,0.0,unfurnished,Low,0.0006567796610169492,0.6666666666666666,0.9360933591703348
flat,sector 28,1.6,2.0,2.0,2,Relatively New,1428.0,0.0,0.0,unfurnished,Medium,0.0011204481792717088,1.0,0.9555114450274363
flat,sector 109,2.25,3.0,4.0,3,Relatively New,2325.0,1.0,0.0,unfurnished,High,0.000967741935483871,1.3333333333333333,1.178654996341646
flat,sector 65,2.77,4.0,4.0,3+,Relatively New,2564.0,1.0,0.0,furnished,High,0.001080343213728549,1.0,1.3270750014599193
house,sector 12,1.2,2.0,4.0,2,Relatively New,846.0,0.0,0.0,semiunfurnished,Low,0.0014184397163120566,2.0,0.7884573603642702
flat,sector 92,1.55,3.0,4.0,3,Relatively New,1795.0,1.0,0.0,semiunfurnished,Medium,0.0008635097493036211,1.3333333333333333,0.9360933591703348
flat,sector 85,1.09,2.0,2.0,3,Relatively New,1638.0,0.0,1.0,unfurnished,High,0.0006654456654456654,1.0,0.7371640659767197
flat,sector 70a,1.15,2.0,2.0,3,New Property,1400.0,0.0,0.0,unfurnished,High,0.0008214285714285714,1.0,0.7654678421395714
flat,sector 85,1.77,3.0,4.0,3+,New Property,2166.0,0.0,1.0,unfurnished,High,0.0008171745152354571,1.3333333333333333,1.0188473201992472
flat,sector 30,0.85,2.0,2.0,1,Old Property,858.0,0.0,0.0,semiunfurnished,Low,0.0009906759906759906,1.0,0.6151856390902334
flat,sector 107,0.9,2.0,2.0,3+,Relatively New,1229.0,0.0,0.0,semiunfurnished,Low,0.0007323026851098454,1.0,0.6418538861723948
flat,sector 3,1.2,2.0,2.0,3,Under Construction,1299.0,0.0,0.0,unfurnished,Medium,0.0009237875288683603,1.0,0.7884573603642702
flat,sector 2,0.6,1.0,1.0,1,Moderately Old,661.0,0.0,0.0,semiunfurnished,Medium,0.000907715582450832,1.0,0.4700036292457355
flat,sector 28,0.9,4.0,2.0,3+,Old Property,1615.0,0.0,0.0,unfurnished,Low,0.0005572755417956656,0.5,0.6418538861723948
house,sector 4,0.4,1.0,1.0,0,Moderately Old,450.0,0.0,0.0,unfurnished,Low,0.0008888888888888889,1.0,0.3364722366212129
house,sector 109,5.65,4.0,4.0,3+,New Property,5400.0,1.0,0.0,semiunfurnished,Low,0.0010462962962962963,1.0,1.8946168546677629
flat,sector 62,2.15,2.0,2.0,3,Under Construction,1958.0,0.0,0.0,unfurnished,High,0.0010980592441266598,1.0,1.1474024528375417
house,sector 49,4.4,6.0,6.0,3,Moderately Old,2880.0,1.0,1.0,furnished,High,0.0015277777777777779,1.0,1.6863989535702286
flat,sector 81,0.64,2.0,2.0,3,Relatively New,1590.0,0.0,0.0,semiunfurnished,Medium,0.0004025157232704403,1.0,0.49469624183610705
flat,sector 65,2.86,3.0,3.0,3,Under Construction,2648.0,1.0,0.0,unfurnished,Low,0.0010800604229607251,1.0,1.3506671834767394
flat,sector 66,3.5,3.0,3.0,3,Moderately Old,2125.0,1.0,1.0,semiunfurnished,High,0.0016470588235294118,1.0,1.504077396776274
house,sector 89,0.7,2.0,2.0,2,New Property,1297.0,0.0,0.0,unfurnished,Low,0.0005397070161912104,1.0,0.5306282510621704
flat,sector 86,1.54,3.0,3.0,3+,Relatively New,1780.0,1.0,0.0,unfurnished,High,0.0008651685393258427,1.0,0.9321640810304452
flat,sector 51,2.1,4.0,4.0,3,Relatively New,2300.0,0.0,0.0,unfurnished,Medium,0.0009130434782608696,1.0,1.1314021114911006
flat,sector 37,1.25,3.0,3.0,3,Relatively New,1689.0,0.0,0.0,unfurnished,Low,0.0007400828892835998,1.0,0.8109302162163288
flat,sector 111,0.7,2.0,2.0,2,Relatively New,903.0,0.0,0.0,unfurnished,Medium,0.0007751937984496124,1.0,0.5306282510621704
flat,sector 67,2.8,3.0,3.0,3,Moderately Old,2141.0,1.0,0.0,furnished,Low,0.0013078000934142924,1.0,1.33500106673234
flat,sector 111,2.58,3.0,4.0,2,Moderately Old,2200.0,1.0,0.0,unfurnished,Medium,0.0011727272727272728,1.3333333333333333,1.275362800412609
flat,sector 113,3.0,3.0,3.0,3+,Relatively New,2460.0,1.0,0.0,unfurnished,High,0.0012195121951219512,1.0,1.3862943611198906
flat,sector 61,2.1,3.0,2.0,3,Under Construction,1670.0,0.0,0.0,unfurnished,High,0.0012574850299401199,0.6666666666666666,1.1314021114911006
flat,sector 113,2.45,3.0,3.0,3,Relatively New,2001.0,0.0,0.0,unfurnished,High,0.0012243878060969515,1.0,1.2383742310432684
flat,sector 69,1.38,3.0,3.0,1,Relatively New,1997.0,0.0,0.0,unfurnished,High,0.0006910365548322483,1.0,0.8671004876833832
flat,sector 89,1.71,3.0,2.0,0,New Property,1423.0,0.0,0.0,unfurnished,Low,0.0012016865776528461,0.6666666666666666,0.9969486348916095
flat,sector 67a,1.85,3.0,4.0,3,New Property,1941.0,0.0,1.0,semiunfurnished,High,0.0009531169500257599,1.3333333333333333,1.0473189942805592
flat,sector 37d,0.6,2.0,2.0,3,New Property,679.0,0.0,0.0,unfurnished,Low,0.0008836524300441826,1.0,0.4700036292457355
flat,sector 82,0.81,2.0,2.0,2,Relatively New,1169.0,0.0,0.0,semiunfurnished,High,0.0006928999144568007,1.0,0.5933268452777344
flat,sector 53,5.6,3.0,3.0,3+,Under Construction,2601.0,0.0,0.0,unfurnished,Low,0.0021530180699730873,1.0,1.8870696490323797
flat,sector 74,1.5,2.0,2.0,3,Relatively New,1300.0,0.0,1.0,unfurnished,High,0.001153846153846154,1.0,0.916290731874155
flat,sector 37d,1.45,3.0,3.0,3,Relatively New,1629.0,0.0,0.0,unfurnished,High,0.0008901166359729896,1.0,0.8960880245566356
flat,sector 108,1.65,3.0,4.0,3,Moderately Old,1771.32,0.0,0.0,semiunfurnished,Medium,0.0009315087053722648,1.3333333333333333,0.9745596399981308
flat,sector 52,0.45,1.0,1.0,0,Moderately Old,599.0,0.0,0.0,semiunfurnished,Low,0.0007512520868113523,1.0,0.37156355643248307
flat,sector 12,0.35,2.0,2.0,1,Moderately Old,737.0,0.0,0.0,unfurnished,Low,0.00047489823609226593,1.0,0.30010459245033805
flat,sector 85,1.12,2.0,2.0,3,Relatively New,1485.0,0.0,0.0,unfurnished,Low,0.0007542087542087543,1.0,0.7514160886839211
flat,sector 36,0.75,2.0,2.0,2,Relatively New,922.0,0.0,0.0,unfurnished,Low,0.0008134490238611713,1.0,0.5596157879354227
