,property_type,sector,price,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,flat,sector 36,0.82,3.0,2.0,2, Low Floor,New Property,908.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1,flat,sector 89,0.95,2.0,2.0,2,Medium Floor,New Property,1432.0,1.0,1.0,0.0,0.0,0.0,0.0,Low
2,flat,sohna road,0.32,2.0,2.0,1,High Floor,New Property,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
3,flat,sector 92,1.6,3.0,4.0,3+,Medium Floor,Relatively New,1615.0,0.0,1.0,0.0,0.0,1.0,1.0,High
4,flat,sector 102,0.48,2.0,2.0,1,Medium Floor,Relatively New,630.0,0.0,0.0,1.0,0.0,0.0,0.0,High
5,flat,gwal pahari,7.5,4.0,4.0,3+,High Floor,New Property,4813.0,0.0,1.0,0.0,1.0,1.0,1.0,Low
6,flat,sector 108,2.0,3.0,3.0,3+,High Floor,Relatively New,2103.0,0.0,1.0,0.0,0.0,0.0,0.0,High
7,flat,sector 102,1.9,3.0,4.0,3,Medium Floor,Relatively New,1699.0,0.0,1.0,0.0,0.0,0.0,0.0,High
8,house,sector 105,1.2,3.0,2.0,1, Low Floor,Old Property,1185.51,0.0,0.0,0.0,0.0,0.0,0.0,Low
9,house,sector 109,1.55,3.0,2.0,0, Low Floor,Relatively New,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
10,flat,sector 28,1.6,2.0,2.0,2,Medium Floor,Relatively New,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
11,flat,sector 109,2.25,3.0,4.0,3,High Floor,Relatively New,2325.0,0.0,1.0,0.0,0.0,0.0,0.0,High
12,flat,sector 65,2.77,4.0,4.0,3+,Medium Floor,Relatively New,2564.0,1.0,1.0,0.0,0.0,0.0,2.0,High
13,house,sector 12,1.2,2.0,4.0,2, Low Floor,Relatively New,846.0,0.0,0.0,0.0,1.0,0.0,1.0,Low
14,flat,sector 92,1.55,3.0,4.0,3,High Floor,Relatively New,1795.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium
15,flat,sector 85,1.09,2.0,2.0,3,Medium Floor,Relatively New,1638.0,0.0,0.0,1.0,0.0,0.0,0.0,High
16,flat,sector 70a,1.15,2.0,2.0,3,Medium Floor,New Property,1400.0,0.0,0.0,0.0,1.0,0.0,0.0,High
17,flat,sector 85,1.77,3.0,4.0,3+,Medium Floor,New Property,2166.0,0.0,0.0,1.0,0.0,0.0,0.0,High
18,flat,sector 30,0.85,2.0,2.0,1, Low Floor,Old Property,858.0,0.0,0.0,0.0,0.0,1.0,1.0,Low
19,flat,sector 107,0.9,2.0,2.0,3+,Medium Floor,Relatively New,1229.0,0.0,0.0,0.0,0.0,1.0,1.0,Low
20,flat,sector 3,1.2,2.0,2.0,3, Low Floor,Under Construction,1299.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
21,flat,sector 2,0.6,1.0,1.0,1,Medium Floor,Moderately Old,661.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium
22,flat,sector 28,0.9,4.0,2.0,3+, Low Floor,Old Property,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
23,house,sector 4,0.4,1.0,1.0,0, Low Floor,Moderately Old,450.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
24,house,sector 109,5.65,4.0,4.0,3+, Low Floor,New Property,5400.0,0.0,1.0,0.0,0.0,1.0,1.0,Low
25,flat,sector 62,2.15,2.0,2.0,3,High Floor,Under Construction,1958.0,0.0,0.0,0.0,0.0,0.0,0.0,High
26,house,sector 49,4.4,6.0,6.0,3,Medium Floor,Moderately Old,2880.0,1.0,1.0,1.0,1.0,0.0,2.0,High
27,flat,sector 81,0.64,2.0,2.0,3,High Floor,Relatively New,1590.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium
28,flat,sector 65,2.86,3.0,3.0,3,High Floor,Under Construction,2648.0,0.0,1.0,0.0,0.0,0.0,0.0,Low
29,flat,sector 66,3.5,3.0,3.0,3,Medium Floor,Moderately Old,2125.0,0.0,1.0,1.0,0.0,0.0,1.0,High
30,house,sector 89,0.7,2.0,2.0,2,High Floor,New Property,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
31,flat,sector 86,1.54,3.0,3.0,3+,High Floor,Relatively New,1780.0,0.0,1.0,0.0,0.0,0.0,0.0,High
32,flat,sector 51,2.1,4.0,4.0,3, Low Floor,Relatively New,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
33,flat,sector 37,1.25,3.0,3.0,3, Low Floor,Relatively New,1689.0,1.0,0.0,0.0,0.0,0.0,0.0,Low
34,flat,sector 111,0.7,2.0,2.0,2,Medium Floor,Relatively New,903.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
35,flat,sector 67,2.8,3.0,3.0,3,Medium Floor,Moderately Old,2141.0,0.0,1.0,0.0,0.0,0.0,2.0,Low
36,flat,sector 111,2.58,3.0,4.0,2,Medium Floor,Moderately Old,2200.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium
37,flat,sector 113,3.0,3.0,3.0,3+,Medium Floor,Relatively New,2460.0,0.0,1.0,0.0,0.0,0.0,0.0,High
38,flat,sector 61,2.1,3.0,2.0,3,Medium Floor,Under Construction,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,High
39,flat,sector 113,2.45,3.0,3.0,3,Medium Floor,Relatively New,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,High
40,flat,sector 69,1.38,3.0,3.0,1,High Floor,Relatively New,1997.0,0.0,0.0,0.0,0.0,0.0,0.0,High
41,flat,sector 89,1.71,3.0,2.0,0,Medium Floor,New Property,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
42,flat,sector 67a,1.85,3.0,4.0,3,Medium Floor,New Property,1941.0,1.0,0.0,1.0,0.0,0.0,1.0,High
43,flat,sector 37d,0.6,2.0,2.0,3,Medium Floor,New Property,679.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
44,flat,sector 82,0.81,2.0,2.0,2,High Floor,Relatively New,1169.0,0.0,0.0,0.0,0.0,0.0,1.0,High
45,flat,sector 53,5.6,3.0,3.0,3+, Low Floor,Under Construction,2601.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
46,flat,sector 74,1.5,2.0,2.0,3,High Floor,Relatively New,1300.0,0.0,0.0,1.0,0.0,0.0,0.0,High
47,flat,sector 37d,1.45,3.0,3.0,3,Medium Floor,Relatively New,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,High
48,flat,sector 108,1.65,3.0,4.0,3,Medium Floor,Moderately Old,1771.32,1.0,0.0,0.0,0.0,0.0,1.0,Medium
49,flat,sector 52,0.45,1.0,1.0,0, Low Floor,Moderately Old,599.0,0.0,0.0,0.0,1.0,0.0,1.0,Low
50,flat,sector 12,0.35,2.0,2.0,1, Low Floor,Moderately Old,737.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
51,flat,sector 85,1.12,2.0,2.0,3,Medium Floor,Relatively New,1485.0,0.0,0.0,0.0,0.0,1.0,0.0,Low
52,flat,sector 36,0.75,2.0,2.0,2,Medium Floor,Relatively New,922.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
53,flat,sector 89,0.25,1.0,1.0,1,Medium Floor,New Property,430.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
54,house,sector 4,0.67,3.0,2.0,1, Low Floor,Moderately Old,783.0,0.0,0.0,0.0,1.0,1.0,0.0,Low
55,flat,sector 2,0.56,1.0,1.0,2,Medium Floor,Moderately Old,845.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
56,flat,sector 70a,1.75,3.0,4.0,3+,High Floor,Relatively New,1706.0,0.0,0.0,0.0,0.0,1.0,2.0,Low
57,house,sector 14,4.15,5.0,4.0,2, Low Floor,Old Property,2250.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium
58,flat,sector 67,3.4,3.0,4.0,3,High Floor,Relatively New,2121.0,0.0,1.0,0.0,0.0,0.0,1.0,High
59,flat,sector 89,0.95,2.0,2.0,2,Medium Floor,New Property,1432.0,1.0,1.0,0.0,0.0,0.0,0.0,Low
60,flat,sector 81,2.3,3.0,3.0,3+,High Floor,Relatively New,1617.0,1.0,1.0,0.0,1.0,1.0,2.0,Low
61,flat,sector 95,0.32,2.0,2.0,1,Medium Floor,Relatively New,713.0,0.0,0.0,0.0,1.0,0.0,1.0,Medium
62,flat,sector 102,0.45,1.0,1.0,2,Medium Floor,Relatively New,750.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
63,flat,sector 109,1.5,3.0,4.0,3+,Medium Floor,Relatively New,1797.0,0.0,1.0,0.0,0.0,0.0,0.0,Low
64,house,sector 41,2.65,3.0,3.0,3,Medium Floor,New Property,1400.0,0.0,1.0,0.0,0.0,0.0,1.0,Low
65,house,sector 3,1.5,7.0,2.0,0, Low Floor,Old Property,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
66,flat,sector 86,1.5,3.0,3.0,1,High Floor,Relatively New,1709.0,0.0,0.0,0.0,0.0,1.0,0.0,Low
67,flat,sector 83,1.19,2.0,2.0,3,Medium Floor,Relatively New,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
